"R0000100","R0173600","R0214700","R0214800","R0263710","R0446810","R0702510","R0709400","R0709500","R0712100","R0712200","R0712300","R0712400","R0712500","R0833200","R0833400","R0840100","R0841010","R0854110","R0896711"
3094,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3095,5,3,2,-4,-4,147,0,0,-4,-4,-4,-4,-4,3,81,1,147,-4,1
3096,5,3,2,425,-4,750,0,1,1,2,335,1,1,5,81,1,750,-4,0
3097,1,3,1,-4,-4,400,0,0,-4,-4,-4,-4,-4,6,81,1,400,-4,0
3098,5,3,2,586,676,875,1,0,-4,-4,-4,-4,-4,3,81,1,875,-4,1
3099,5,3,2,-4,285,340,0,1,0,-4,-4,-4,-4,3,81,1,340,-4,1
3100,1,3,1,468,514,528,0,1,0,-4,-4,-4,-4,2,81,1,528,193,1
3101,5,3,2,310,125,335,0,1,1,1,175,1,9,1,82,1,335,-4,1
3102,1,3,1,300,250,420,1,0,-4,-4,-4,-4,-4,6,81,1,420,312,1
3103,2,3,1,310,250,343,1,1,0,-4,-4,-4,-4,10,81,1,343,210,1
3104,2,3,1,-4,66,750,0,0,-4,-4,-4,-4,-4,2,81,1,750,-4,1
3105,5,3,2,114,-4,335,0,1,0,-4,-4,-4,-4,3,81,1,335,-4,0
3106,5,3,2,-4,-4,125,0,0,-4,-4,-4,-4,-4,9,81,1,125,277,1
3107,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3108,5,3,2,326,378,484,1,1,1,1,60000,5,10,2,81,1,484,-4,1
3109,5,3,2,-4,333,413,0,1,1,1,51200,5,8,2,81,1,413,-4,1
3110,5,3,2,398,348,319,0,1,0,-4,-4,-4,-4,3,81,1,319,290,1
3111,5,3,2,552,552,691,0,0,-4,-4,-4,-4,-4,3,81,1,691,-4,1
3112,5,3,2,310,345,335,0,1,0,-4,-4,-4,-4,3,81,0,-4,335,1
3113,5,3,2,349,380,505,1,1,0,-4,-4,-4,-4,3,81,1,505,-4,0
3114,1,3,1,-4,-4,-4,0,1,0,-4,-4,-4,-4,9,81,1,-4,-4,0
3115,5,3,2,310,335,415,1,1,1,1,70000,5,10,6,81,1,415,-4,1
3116,1,3,1,900,925,1050,0,1,0,-4,-4,-4,-4,3,81,1,1050,-4,0
3117,5,3,2,567,-4,450,0,1,1,4,400,1,1,1,82,1,450,-4,1
3118,5,3,2,-4,335,406,0,1,1,1,40000,5,1,8,81,1,406,335,1
3119,5,3,2,360,486,335,0,1,0,-4,-4,-4,-4,4,81,1,335,335,0
3120,5,3,2,-4,133,-4,-4,-4,-4,-4,-4,-4,-4,1,81,1,-4,-4,0
3121,5,3,2,-5,340,355,0,1,0,-4,-4,-4,-4,3,81,1,355,-4,1
3122,5,3,2,-5,395,520,0,1,0,-4,-4,-4,-4,12,81,1,520,500,1
3123,1,3,1,-4,208,-4,1,1,0,-4,-4,-4,-4,3,81,1,-4,-4,1
3124,1,3,1,-4,-4,400,0,1,0,-4,-4,-4,-4,10,81,1,400,-4,1
3125,1,3,1,390,420,490,1,1,0,-4,-4,-4,-4,3,81,1,490,-4,1
3126,1,3,1,-4,341,335,1,1,0,-4,-4,-4,-4,6,81,1,335,-4,1
3127,1,3,1,310,334,166,1,0,-4,-4,-4,-4,-4,2,81,1,166,-4,1
3128,1,3,1,-4,500,50,1,1,0,-4,-4,-4,-4,12,81,1,50,-4,1
3129,5,3,2,-4,-4,335,0,1,0,-4,-4,-4,-4,2,81,1,335,-4,0
3130,5,3,2,-4,-4,83,0,1,0,-4,-4,-4,-4,8,81,1,83,-4,0
3131,1,3,1,-4,-4,867,0,1,1,7,2370000,6,10,5,81,1,867,-4,1
3132,1,3,1,-4,335,425,1,1,0,-4,-4,-4,-4,11,81,1,425,400,1
3133,5,3,2,333,-4,325,0,1,1,1,-4,-2,3,5,81,1,325,-4,0
3134,5,3,2,310,480,335,1,1,0,-4,-4,-4,-4,3,82,1,335,410,1
3135,5,3,2,-4,335,471,0,1,0,-4,-4,-4,-4,1,82,1,471,-4,1
3136,1,3,1,720,680,865,0,1,0,-4,-4,-4,-4,4,81,1,865,-4,1
3137,1,3,1,590,612,869,1,1,1,2,1600000,6,10,1,81,1,869,-4,1
3138,1,3,1,910,1030,1105,0,1,0,-4,-4,-4,-4,3,81,1,1105,-4,1
3139,1,3,1,-4,-4,335,0,1,0,-4,-4,-4,-4,7,81,1,335,-4,1
3140,1,3,1,600,817,892,1,0,-4,-4,-4,-4,-4,2,81,1,892,-4,1
3141,1,3,1,-4,360,289,0,1,0,-4,-4,-4,-4,2,81,1,289,-4,0
3142,1,3,1,250,-4,460,0,1,0,-4,-4,-4,-4,4,81,1,460,-4,1
3143,5,3,2,-4,550,250,0,1,0,-4,-4,-4,-4,3,81,1,250,-4,1
3144,1,3,1,250,400,750,1,1,0,-4,-4,-4,-4,2,82,1,750,-4,1
3145,5,3,2,310,335,200,0,1,0,-4,-4,-4,-4,1,82,1,200,350,1
3146,5,3,2,310,206,350,0,1,1,1,350,1,6,9,81,1,350,-4,1
3147,1,3,1,380,470,745,1,1,1,2,1500000,6,10,7,81,1,745,470,1
3148,5,3,2,335,375,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3149,1,3,1,290,-4,435,0,1,0,-4,-4,-4,-4,1,82,1,435,-4,1
3150,5,3,2,478,450,560,1,1,0,-4,-4,-4,-4,1,81,1,560,-4,1
3151,5,3,2,248,525,600,0,1,0,-4,-4,-4,-4,1,81,1,600,-4,1
3152,1,3,1,-4,-4,767,1,1,0,-4,-4,-4,-4,9,81,1,767,500,1
3153,5,3,2,257,-4,-4,0,1,0,-4,-4,-4,-4,6,81,1,-4,-4,0
3154,5,3,2,360,-4,824,0,1,1,2,1800000,6,2,3,81,1,824,-4,1
3155,5,3,2,-4,-4,335,0,1,0,-4,-4,-4,-4,9,81,1,335,310,0
3156,5,3,2,-4,206,329,0,1,0,-4,-4,-4,-4,9,81,1,329,-4,1
3157,5,3,2,200,225,315,1,1,0,-4,-4,-4,-4,1,81,1,315,-4,1
3158,1,3,1,1000,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3159,1,3,1,-4,-4,350,0,0,-4,-4,-4,-4,-4,9,81,1,350,-4,0
3160,1,3,1,320,-4,333,0,1,0,-4,-4,-4,-4,6,81,1,333,-4,0
3161,1,3,1,275,400,400,0,0,-4,-4,-4,-4,-4,4,81,1,400,-4,0
3162,5,3,2,-4,310,375,0,1,0,-4,-4,-4,-4,4,81,1,375,-4,0
3163,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3164,5,3,2,-4,-4,571,0,1,1,1,275,1,9,8,81,1,571,-4,0
3165,5,3,2,-4,537,437,0,1,0,-4,-4,-4,-4,8,81,1,437,-4,0
3166,1,3,1,-4,333,335,1,0,-4,-4,-4,-4,-4,9,81,1,335,-4,0
3167,5,3,2,550,527,554,0,1,0,-4,-4,-4,-4,3,81,1,554,335,0
3168,1,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-3
3169,1,3,1,285,335,632,0,1,0,-4,-4,-4,-4,7,81,1,632,-4,1
3170,1,3,1,-4,-4,500,0,1,1,1,-3,-3,9,1,82,1,500,482,1
3171,1,3,1,-4,350,400,0,1,1,1,500,1,9,7,81,1,400,-4,0
3172,1,3,1,-4,-4,-4,0,0,-4,-4,-4,-4,-4,6,81,1,-4,-4,0
3173,1,3,1,-4,-4,400,0,1,0,-4,-4,-4,-4,7,81,1,400,-4,0
3174,5,3,2,-4,5,-4,0,0,-4,-4,-4,-4,-4,5,81,1,-4,-4,1
3175,7,2,2,-4,-4,335,0,1,0,-4,-4,-4,-4,6,81,1,335,-4,0
3176,7,2,2,444,603,556,1,1,1,2,-4,-2,1,1,81,1,556,-4,1
3177,3,2,1,462,375,675,1,1,0,-4,-4,-4,-4,10,81,1,675,325,1
3178,7,2,2,366,450,486,1,1,0,-4,-4,-4,-4,1,81,1,486,-4,1
3179,5,3,2,-4,400,400,0,1,0,-4,-4,-4,-4,3,81,1,400,-4,0
3180,1,3,1,-4,552,889,1,1,1,1,85000,5,3,3,81,1,889,-4,1
3181,1,3,1,310,-4,1800,0,1,1,2,40000,3,10,5,81,1,1800,-4,0
3182,5,3,2,-4,-4,400,0,1,1,1,400,1,10,6,81,1,400,-4,0
3183,5,3,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3184,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3185,5,3,2,326,-4,-4,0,1,0,-4,-4,-4,-4,1,82,1,-4,375,0
3186,1,3,1,-4,-4,700,0,0,-4,-4,-4,-4,-4,9,81,1,700,557,0
3187,1,3,1,265,-4,384,0,0,-4,-4,-4,-4,-4,6,81,1,384,-4,1
3188,7,2,2,405,-4,357,0,1,0,-4,-4,-4,-4,5,82,1,357,335,1
3189,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3190,7,2,2,-4,-4,421,0,1,0,-4,-4,-4,-4,8,81,1,421,-4,0
3191,7,2,2,-4,-4,350,0,1,0,-4,-4,-4,-4,6,81,1,350,-4,1
3192,3,2,1,-4,-4,335,0,0,-4,-4,-4,-4,-4,9,81,1,335,-4,1
3193,1,3,1,325,355,750,1,1,1,1,1600000,6,10,6,81,1,750,375,1
3194,1,3,1,-4,450,528,0,1,0,-4,-4,-4,-4,3,81,1,528,-4,1
3195,1,3,1,555,1325,400,0,1,0,-4,-4,-4,-4,12,81,1,400,-4,1
3196,1,3,1,730,767,820,0,1,1,1,265,1,6,2,81,1,820,-4,1
3197,5,3,2,310,375,395,1,1,0,-4,-4,-4,-4,2,81,1,395,-4,1
3198,5,3,2,-4,-4,335,0,1,0,-4,-4,-4,-4,2,82,1,335,-4,0
3199,5,3,2,310,624,662,1,0,-4,-4,-4,-4,-4,2,81,1,662,-4,1
3200,1,3,1,612,700,812,1,1,1,1,450,1,10,2,81,1,812,-4,1
3201,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3202,1,3,1,665,750,534,1,1,1,5,450,1,1,2,81,1,534,-4,1
3203,1,3,1,261,335,364,1,1,0,-4,-4,-4,-4,10,81,1,364,-4,1
3204,5,3,2,-4,-4,115,0,0,-4,-4,-4,-4,-4,2,81,1,115,-4,1
3205,5,3,2,-4,310,400,0,1,1,1,335,1,6,6,81,1,400,-4,1
3206,5,3,2,320,365,385,0,1,0,-4,-4,-4,-4,2,81,1,385,415,1
3207,1,3,1,372,600,600,0,1,0,-4,-4,-4,-4,3,81,1,600,-4,1
3208,1,3,1,687,750,810,1,1,0,-4,-4,-4,-4,3,81,1,810,-4,1
3209,5,3,2,235,355,300,1,1,0,-4,-4,-4,-4,8,81,1,300,-4,1
3210,1,3,1,500,656,862,1,1,0,-4,-4,-4,-4,3,81,1,862,-4,1
3211,1,3,1,485,522,581,1,1,1,1,340,1,10,3,81,1,581,-4,1
3212,5,3,2,-4,411,423,0,1,0,-4,-4,-4,-4,3,81,1,423,-4,1
3213,1,3,1,333,375,-4,-4,-4,-4,-4,-4,-4,-4,1,81,0,-4,-4,1
3214,1,3,1,166,-4,335,0,0,-4,-4,-4,-4,-4,9,81,1,335,-4,1
3215,1,3,1,475,554,571,0,1,0,-4,-4,-4,-4,1,81,1,571,-4,1
3216,1,3,1,325,266,500,1,0,-4,-4,-4,-4,-4,6,81,1,500,325,0
3217,5,3,2,-4,652,652,0,1,0,-4,-4,-4,-4,6,81,1,652,-4,0
3218,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3219,1,3,1,310,380,310,1,0,-4,-4,-4,-4,-4,1,81,1,310,-4,1
3220,1,3,1,-4,410,335,0,1,0,-4,-4,-4,-4,10,81,1,335,-4,0
3221,5,3,2,-4,-4,285,1,1,0,-4,-4,-4,-4,8,81,1,285,285,0
3222,5,3,2,-4,315,410,0,1,0,-4,-4,-4,-4,6,81,1,410,365,1
3223,5,3,2,-4,-4,340,0,1,0,-4,-4,-4,-4,5,81,1,340,-4,0
3224,1,3,1,-4,834,700,1,1,1,4,-4,-1,3,3,81,1,700,-4,0
3225,5,3,2,220,-4,350,0,1,0,-4,-4,-4,-4,5,81,1,350,-4,1
3226,1,3,1,310,575,335,0,0,-4,-4,-4,-4,-4,2,82,1,335,-4,1
3227,5,3,2,-4,-4,65,0,1,0,-4,-4,-4,-4,1,82,1,65,-4,1
3228,1,3,1,315,-4,335,0,1,0,-4,-4,-4,-4,5,81,1,335,-4,0
3229,1,3,1,-4,360,-4,0,1,0,-4,-4,-4,-4,2,81,1,-4,-4,1
3230,1,3,1,245,-4,563,0,1,1,1,335,1,1,10,81,1,563,-4,1
3231,5,3,2,-4,-4,285,0,1,0,-4,-4,-4,-4,11,81,1,285,285,0
3232,1,3,1,413,475,650,0,1,0,-4,-4,-4,-4,9,81,1,650,452,1
3233,5,3,2,336,375,436,0,1,0,-4,-4,-4,-4,1,81,1,436,-4,1
3234,5,3,2,360,490,480,0,1,0,-4,-4,-4,-4,1,81,1,480,-4,1
3235,1,3,1,375,440,480,1,1,0,-4,-4,-4,-4,1,81,1,480,-4,1
3236,5,3,2,-4,437,350,1,1,0,-4,-4,-4,-4,8,81,1,350,-4,1
3237,5,3,2,516,475,487,1,1,0,-4,-4,-4,-4,3,81,1,487,-4,0
3238,7,2,2,-4,166,467,0,1,0,-4,-4,-4,-4,1,81,1,467,-4,1
3239,3,2,1,310,310,288,0,0,-4,-4,-4,-4,-4,2,81,1,288,-4,1
3240,1,3,1,380,-4,365,0,1,0,-4,-4,-4,-4,6,81,1,365,-4,0
3241,2,3,1,-4,-4,600,0,0,-4,-4,-4,-4,-4,6,81,1,600,-4,1
3242,5,3,2,-4,350,563,1,1,1,2,88000,5,2,1,82,1,563,534,1
3243,5,3,2,1000,1000,1442,0,1,1,4,2500000,6,3,7,81,1,1442,-4,1
3244,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3245,5,3,2,-4,-4,900,1,0,-4,-4,-4,-4,-4,1,82,1,900,-4,0
3246,1,3,1,-4,200,142,1,1,0,-4,-4,-4,-4,2,81,1,142,400,1
3247,1,3,1,-4,-4,555,1,1,0,-4,-4,-4,-4,1,82,1,555,1057,1
3248,6,3,2,-4,436,478,0,0,-4,-4,-4,-4,-4,2,81,1,478,-4,1
3249,5,3,2,345,335,335,1,1,0,-4,-4,-4,-4,2,82,1,335,-4,1
3250,5,3,2,-4,624,350,1,1,0,-4,-4,-4,-4,10,81,1,350,640,1
3251,1,3,1,-4,275,550,1,1,0,-4,-4,-4,-4,11,81,1,550,500,1
3252,5,3,2,275,-4,374,0,1,0,-4,-4,-4,-4,10,81,1,374,-4,1
3253,5,3,2,310,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3254,5,3,2,-4,411,400,1,1,0,-4,-4,-4,-4,8,81,1,400,-4,1
3255,1,3,1,-4,450,750,0,1,0,-4,-4,-4,-4,2,81,1,750,-4,1
3256,1,3,1,-4,-4,-4,0,1,0,-4,-4,-4,-4,11,81,1,-4,-4,0
3257,1,3,1,-4,-4,125,0,1,0,-4,-4,-4,-4,6,81,1,125,-4,0
3258,1,3,1,838,913,961,1,0,-4,-4,-4,-4,-4,1,81,1,961,-4,1
3259,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3260,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3261,3,2,1,262,-4,262,0,1,0,-4,-4,-4,-4,3,81,1,262,-4,0
3262,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3263,1,3,1,350,400,400,0,1,0,-4,-4,-4,-4,2,81,1,400,-4,0
3264,4,1,1,-4,570,685,1,1,0,-4,-4,-4,-4,5,81,1,685,440,0
3265,4,1,1,-4,350,475,0,1,0,-4,-4,-4,-4,1,81,1,475,-4,0
3266,8,1,2,-4,-4,266,0,1,0,-4,-4,-4,-4,5,81,1,266,-4,0
3267,4,1,1,-4,-4,335,0,1,0,-4,-4,-4,-4,9,81,1,335,-4,0
3268,8,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3269,8,1,2,429,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3270,4,1,1,-4,335,350,0,0,-4,-4,-4,-4,-4,4,81,1,350,-4,0
3271,2,3,1,700,562,562,1,1,0,-4,-4,-4,-4,4,81,1,562,214,1
3272,2,3,1,300,305,335,0,1,0,-4,-4,-4,-4,10,81,1,335,-4,0
3273,8,1,2,714,330,337,0,0,-4,-4,-4,-4,-4,2,81,1,337,-4,0
3274,4,1,1,166,250,360,0,1,0,-4,-4,-4,-4,2,81,1,360,-4,0
3275,1,3,1,360,404,801,0,1,0,-4,-4,-4,-4,2,81,1,801,-4,0
3276,5,3,2,750,735,841,0,1,1,4,1250000,6,8,2,81,1,841,-4,1
3277,2,3,1,781,1043,1100,1,0,-4,-4,-4,-4,-4,3,81,1,1100,-4,1
3278,6,3,2,471,477,632,1,1,1,2,1100000,6,6,3,81,1,632,-4,1
3279,2,3,1,635,350,617,0,1,0,-4,-4,-4,-4,1,82,1,617,-4,1
3280,6,3,2,377,300,540,1,1,0,-4,-4,-4,-4,9,81,1,540,-4,1
3281,4,1,1,-4,-4,350,0,1,0,-4,-4,-4,-4,11,81,1,350,-4,1
3282,4,1,1,333,500,495,0,1,0,-4,-4,-4,-4,3,81,1,495,-4,1
3283,4,1,1,300,-4,333,0,1,0,-4,-4,-4,-4,1,82,1,333,409,1
3284,1,3,1,-4,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3285,8,1,2,166,250,133,0,1,0,-4,-4,-4,-4,7,81,1,133,-4,0
3286,8,1,2,384,814,697,1,0,-4,-4,-4,-4,-4,2,81,1,697,-4,1
3287,5,3,2,312,-4,278,0,1,0,-4,-4,-4,-4,1,82,1,278,-4,1
3288,8,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3289,1,3,1,310,314,631,0,1,1,9,1200000,6,3,10,81,1,631,285,1
3290,1,3,1,300,377,446,1,1,0,-4,-4,-4,-4,2,81,1,446,-4,1
3291,5,3,2,-4,335,325,0,1,0,-4,-4,-4,-4,2,81,1,325,-4,0
3292,5,3,2,340,370,400,0,0,-4,-4,-4,-4,-4,6,81,1,400,-4,1
3293,5,3,2,354,-4,333,0,1,1,1,-4,7,6,12,81,1,333,-4,1
3294,5,3,2,-4,-4,480,0,1,1,1,12000,3,1,6,81,1,480,-4,0
3295,5,3,2,255,-4,412,0,1,1,3,20000,3,8,11,81,1,412,-4,1
3296,1,3,1,350,-4,620,0,1,0,-4,-4,-4,-4,7,81,1,620,-4,0
3297,3,2,1,697,750,500,1,1,0,-4,-4,-4,-4,1,82,1,500,400,1
3298,8,1,2,-5,450,320,1,0,-4,-4,-4,-4,-4,3,81,1,320,-4,1
3299,8,1,2,-4,335,327,0,1,1,1,310,1,6,2,81,1,327,-4,1
3300,8,1,2,242,-4,388,0,1,0,-4,-4,-4,-4,9,81,1,388,-4,1
3301,4,1,1,-4,-4,750,0,1,0,-4,-4,-4,-4,6,81,1,750,-4,0
3302,4,1,1,-4,-4,350,0,1,0,-4,-4,-4,-4,6,81,1,350,-4,1
3303,5,3,2,-4,350,475,0,1,0,-4,-4,-4,-4,11,81,1,475,348,0
3304,8,1,2,306,-4,395,1,1,1,1,-4,-2,9,9,81,1,395,350,1
3305,8,1,2,-4,350,365,1,1,1,1,335,1,3,2,81,1,365,-4,1
3306,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3307,3,2,1,756,937,956,0,1,0,-4,-4,-4,-4,3,81,1,956,-4,1
3308,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3309,7,2,2,-4,-4,320,0,1,0,-4,-4,-4,-4,11,81,1,320,430,0
3310,3,2,1,-4,-4,345,0,0,-4,-4,-4,-4,-4,4,81,1,345,-4,0
3311,3,2,1,633,812,950,0,1,0,-4,-4,-4,-4,3,81,1,950,-4,1
3312,7,2,2,-4,81,340,0,1,0,-4,-4,-4,-4,5,81,1,340,-4,0
3313,2,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3314,2,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3315,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3316,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3317,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3318,3,2,1,-4,350,325,-3,-3,-3,-3,-3,-3,-3,9,81,1,325,-4,0
3319,2,3,1,400,444,450,0,1,1,6,350,1,9,4,81,1,450,-4,0
3320,6,3,2,340,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3321,6,3,2,-4,-4,350,0,0,-4,-4,-4,-4,-4,6,81,1,350,-4,1
3322,7,2,2,171,435,282,0,1,0,-4,-4,-4,-4,1,81,1,282,-4,1
3323,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3324,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1
3325,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3326,3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3327,3,2,1,-4,194,100,0,1,0,-4,-4,-4,-4,3,82,1,100,-4,1
3328,1,3,1,468,440,448,0,1,0,-4,-4,-4,-4,2,81,1,448,-4,1
3329,1,3,1,264,377,384,1,0,-4,-4,-4,-4,-4,2,81,1,384,-4,1
3330,1,3,1,-4,-4,1250,0,0,-4,-4,-4,-4,-4,1,82,1,1250,-4,1
3331,1,3,1,325,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3332,5,3,2,-5,-4,350,0,1,0,-4,-4,-4,-4,1,82,1,350,-4,1
3333,1,3,1,500,340,355,0,1,0,-4,-4,-4,-4,5,81,1,355,-4,1
3334,3,2,1,252,-4,335,0,1,0,-4,-4,-4,-4,3,81,1,335,-4,1
3335,1,3,1,285,316,490,0,1,0,-4,-4,-4,-4,10,81,1,490,-4,1
3336,1,3,1,946,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3337,5,3,2,366,300,600,0,1,0,-4,-4,-4,-4,1,82,1,600,350,1
3338,5,3,2,250,285,258,0,0,-4,-4,-4,-4,-4,8,81,1,258,-4,1
3339,5,3,2,285,355,400,1,1,0,-4,-4,-4,-4,3,82,1,400,370,1
3340,1,3,1,420,-4,1500,0,1,0,-4,-4,-4,-4,3,82,1,1500,750,1
3341,5,3,2,-4,-4,252,0,1,0,-4,-4,-4,-4,5,81,1,252,-4,0
3342,5,3,2,-4,-4,350,0,1,0,-4,-4,-4,-4,5,82,1,350,350,1
3343,5,3,2,100,335,335,0,1,1,1,-4,7,1,9,81,1,335,335,1
3344,1,3,1,425,200,325,0,1,1,2,450,1,1,9,81,1,325,-4,0
3345,5,3,2,320,240,300,0,1,1,2,310,1,6,2,81,1,300,240,1
3346,1,3,1,-4,-4,250,0,0,-4,-4,-4,-4,-4,6,81,1,250,-4,1
3347,5,3,2,531,778,875,0,1,1,1,-4,-2,9,1,81,1,875,-4,1
3348,5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3349,5,3,2,550,453,468,1,1,0,-4,-4,-4,-4,1,81,1,468,-4,1
3350,5,3,2,300,600,450,1,1,0,-4,-4,-4,-4,1,81,1,450,335,0
3351,1,3,1,-4,-4,514,0,1,0,-4,-4,-4,-4,6,81,1,514,-4,0
3352,5,3,2,335,500,350,0,1,1,2,335,1,6,3,81,1,350,-4,1
3353,1,3,1,310,335,375,0,1,0,-4,-4,-4,-4,1,82,1,375,375,1
3354,1,3,1,315,605,360,0,1,0,-4,-4,-4,-4,6,81,1,360,175,1
3355,5,3,2,526,600,576,0,1,1,2,500,1,10,3,81,1,576,-4,0
3356,1,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3357,1,3,1,-4,-4,355,0,1,0,-4,-4,-4,-4,5,81,1,355,-4,1
3358,5,3,2,250,-4,1944,0,1,0,-4,-4,-4,-4,3,81,1,1944,-4,1
3359,1,3,1,350,475,750,1,0,-4,-4,-4,-4,-4,10,81,1,750,375,1
3360,5,3,2,-4,125,-4,-4,-4,-4,-4,-4,-4,-4,2,81,1,-4,-4,1
3361,1,3,1,225,341,500,1,0,-4,-4,-4,-4,-4,2,81,1,500,-4,1
3362,5,3,2,-4,-4,350,0,1,0,-4,-4,-4,-4,7,81,1,350,340,1
3363,5,3,2,400,506,579,0,1,1,1,125,1,1,3,81,1,579,-4,1
3364,5,3,2,462,507,607,0,1,1,1,1060000,6,1,6,81,1,607,-4,1
3365,5,3,2,-4,185,-4,1,1,0,-4,-4,-4,-4,8,81,1,-4,-4,1
3366,1,3,1,-4,-4,-4,0,0,-4,-4,-4,-4,-4,3,81,1,-4,-4,1
3367,5,3,2,-4,-4,360,1,1,0,-4,-4,-4,-4,6,81,1,360,-4,0
3368,5,3,2,150,335,350,1,1,0,-4,-4,-4,-4,2,81,1,350,-4,1
3369,5,3,2,-4,-4,435,0,1,0,-4,-4,-4,-4,2,82,1,435,-4,1
3370,5,3,2,-4,-4,320,0,1,0,-4,-4,-4,-4,6,81,1,320,-4,0
3371,7,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0
3372,1,3,1,-4,470,-4,0,1,0,-4,-4,-4,-4,2,81,1,-4,-4,1
3373,5,3,2,305,-4,370,0,1,0,-4,-4,-4,-4,12,81,1,370,-4,1
3374,1,3,1,-4,-4,300,0,1,0,-4,-4,-4,-4,11,81,1,300,300,1
3375,1,3,1,758,911,900,1,1,1,3,250,1,1,3,81,1,900,-4,0
3376,1,3,1,-4,-4,-4,1,1,0,-4,-4,-4,-4,3,81,1,-4,-4,0
3377,5,3,2,-4,-4,375,0,1,1,1,-4,-2,6,5,81,1,375,-4,1
3378,5,3,2,455,-4,713,1,1,0,-4,-4,-4,-4,3,81,1,713,-4,1
3379,1,3,1,300,490,480,1,1,0,-4,-4,-4,-4,3,81,1,480,-4,0
3380,1,3,1,320,500,547,0,0,-4,-4,-4,-4,-4,3,81,1,547,-4,1
3381,1,3,1,425,500,666,0,0,-4,-4,-4,-4,-4,3,81,1,666,-4,1
3382,1,3,1,-4,400,450,1,0,-4,-4,-4,-4,-4,3,81,1,450,-4,0
3383,5,3,2,310,335,488,0,1,0,-4,-4,-4,-4,7,81,1,488,365,1
3384,5,3,2,330,-4,600,1,1,0,-4,-4,-4,-4,10,81,1,600,-4,1
