case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
2329.0,1.0,3.0,1.0,686.0,350.0,y
2329.0,1.0,3.0,1.0,310.0,350.0,n
2415.0,1.0,3.0,1.0,465.0,371.0,y
2415.0,1.0,3.0,1.0,335.0,371.0,n
2416.0,5.0,3.0,2.0,350.0,245.0,y
2416.0,5.0,3.0,2.0,265.0,245.0,n
2429.0,1.0,3.0,1.0,415.0,330.0,y
2429.0,1.0,3.0,1.0,225.0,330.0,n
2435.0,5.0,3.0,2.0,500.0,200.0,y
2435.0,5.0,3.0,2.0,335.0,200.0,n
2436.0,5.0,3.0,2.0,595.0,502.0,y
2436.0,5.0,3.0,2.0,300.0,502.0,n
2495.0,1.0,3.0,1.0,700.0,700.0,y
2495.0,1.0,3.0,1.0,800.0,700.0,n
2506.0,1.0,3.0,1.0,498.0,290.0,y
2506.0,1.0,3.0,1.0,375.0,290.0,n
2690.0,8.0,1.0,2.0,340.0,310.0,y
2690.0,8.0,1.0,2.0,325.0,310.0,n
2701.0,8.0,1.0,2.0,364.0,110.0,y
2701.0,8.0,1.0,2.0,364.0,110.0,n
2764.0,3.0,2.0,1.0,340.0,287.0,y
2764.0,3.0,2.0,1.0,500.0,287.0,n
2774.0,1.0,3.0,1.0,1145.0,400.0,y
2774.0,1.0,3.0,1.0,300.0,400.0,n
2783.0,1.0,3.0,1.0,1011.0,133.0,y
2783.0,1.0,3.0,1.0,925.0,133.0,n
2842.0,1.0,3.0,1.0,725.0,635.0,y
2842.0,1.0,3.0,1.0,360.0,635.0,n
2858.0,1.0,3.0,1.0,500.0,115.0,y
2858.0,1.0,3.0,1.0,400.0,115.0,n
2938.0,5.0,3.0,2.0,500.0,350.0,y
2938.0,5.0,3.0,2.0,350.0,350.0,n
2974.0,1.0,3.0,1.0,321.0,290.0,y
2974.0,1.0,3.0,1.0,450.0,290.0,n
3002.0,4.0,1.0,1.0,375.0,392.0,y
3002.0,4.0,1.0,1.0,335.0,392.0,n
3018.0,1.0,3.0,1.0,391.0,230.0,y
3018.0,1.0,3.0,1.0,310.0,230.0,n
3054.0,6.0,3.0,2.0,514.0,475.0,y
3054.0,6.0,3.0,2.0,375.0,475.0,n
3064.0,7.0,2.0,2.0,405.0,325.0,y
3064.0,7.0,2.0,2.0,350.0,325.0,n
3101.0,5.0,3.0,2.0,335.0,125.0,y
3101.0,5.0,3.0,2.0,175.0,125.0,n
3146.0,5.0,3.0,2.0,350.0,310.0,y
3146.0,5.0,3.0,2.0,350.0,310.0,n
3196.0,1.0,3.0,1.0,820.0,730.0,y
3196.0,1.0,3.0,1.0,265.0,730.0,n
3200.0,1.0,3.0,1.0,812.0,612.0,y
3200.0,1.0,3.0,1.0,450.0,612.0,n
3211.0,1.0,3.0,1.0,581.0,485.0,y
3211.0,1.0,3.0,1.0,340.0,485.0,n
3230.0,1.0,3.0,1.0,563.0,245.0,y
3230.0,1.0,3.0,1.0,335.0,245.0,n
3363.0,5.0,3.0,2.0,579.0,400.0,y
3363.0,5.0,3.0,2.0,125.0,400.0,n
3423.0,5.0,3.0,2.0,714.0,355.0,y
3423.0,5.0,3.0,2.0,200.0,355.0,n
3508.0,5.0,3.0,2.0,240.0,320.0,y
3508.0,5.0,3.0,2.0,400.0,320.0,n
3524.0,5.0,3.0,2.0,201.0,375.0,y
3524.0,5.0,3.0,2.0,175.0,375.0,n
3597.0,5.0,3.0,2.0,385.0,283.0,y
3597.0,5.0,3.0,2.0,260.0,283.0,n
3620.0,1.0,3.0,1.0,509.0,310.0,y
3620.0,1.0,3.0,1.0,375.0,310.0,n
3629.0,5.0,3.0,2.0,400.0,450.0,y
3629.0,5.0,3.0,2.0,335.0,450.0,n
3715.0,5.0,3.0,2.0,601.0,406.0,y
3715.0,5.0,3.0,2.0,365.0,406.0,n
3719.0,5.0,3.0,2.0,524.0,424.0,y
3719.0,5.0,3.0,2.0,310.0,424.0,n
3720.0,5.0,3.0,2.0,743.0,600.0,y
3720.0,5.0,3.0,2.0,700.0,600.0,n
3772.0,5.0,3.0,2.0,480.0,300.0,y
3772.0,5.0,3.0,2.0,270.0,300.0,n
3786.0,5.0,3.0,2.0,398.0,384.0,y
3786.0,5.0,3.0,2.0,315.0,384.0,n
3790.0,5.0,3.0,2.0,440.0,343.0,y
3790.0,5.0,3.0,2.0,265.0,343.0,n
3802.0,5.0,3.0,2.0,384.0,625.0,y
3802.0,5.0,3.0,2.0,335.0,625.0,n
3836.0,5.0,3.0,2.0,335.0,310.0,y
3836.0,5.0,3.0,2.0,335.0,310.0,n
3848.0,1.0,3.0,1.0,800.0,400.0,y
3848.0,1.0,3.0,1.0,525.0,400.0,n
