case_id,sample_id,sample_race,sample_sex,offered_wage,previous_wage,acceptance_yn
4431.0,7.0,2.0,2.0,475.0,325.0,y
4431.0,7.0,2.0,2.0,425.0,325.0,n
4633.0,1.0,3.0,1.0,500.0,600.0,y
4633.0,1.0,3.0,1.0,687.5,600.0,n
4700.0,5.0,3.0,2.0,625.0,395.0,y
4700.0,5.0,3.0,2.0,576.9230769230769,395.0,n
4797.0,5.0,3.0,2.0,365.0,325.0,y
4797.0,5.0,3.0,2.0,335.0,325.0,n
4829.0,1.0,3.0,1.0,335.0,500.0,y
4829.0,1.0,3.0,1.0,335.0,500.0,n
4836.0,2.0,3.0,1.0,968.0,1100.0,y
4836.0,2.0,3.0,1.0,600.0,1100.0,n
4841.0,5.0,3.0,2.0,357.0,252.0,y
4841.0,5.0,3.0,2.0,406.0,252.0,n
4845.0,1.0,3.0,1.0,1197.0,450.0,y
4845.0,1.0,3.0,1.0,550.0,450.0,n
4848.0,5.0,3.0,2.0,335.0,335.0,y
4848.0,5.0,3.0,2.0,335.0,335.0,n
4858.0,1.0,3.0,1.0,1045.0,550.0,y
4858.0,1.0,3.0,1.0,800.0,550.0,n
4884.0,1.0,3.0,1.0,600.0,525.0,y
4884.0,1.0,3.0,1.0,575.0,525.0,n
4944.0,1.0,3.0,1.0,646.0,576.0,y
4944.0,1.0,3.0,1.0,721.1538461538462,576.0,n
5004.0,1.0,3.0,1.0,388.0,266.0,y
5004.0,1.0,3.0,1.0,350.0,266.0,n
5018.0,1.0,3.0,1.0,930.0,813.0,y
5018.0,1.0,3.0,1.0,961.5384615384615,813.0,n
5097.0,1.0,3.0,1.0,308.0,165.0,y
5097.0,1.0,3.0,1.0,310.0,165.0,n
5216.0,5.0,3.0,2.0,450.0,335.0,y
5216.0,5.0,3.0,2.0,335.0,335.0,n
5218.0,4.0,1.0,1.0,935.0,500.0,y
5218.0,4.0,1.0,1.0,350.0,500.0,n
5323.0,1.0,3.0,1.0,417.0,468.0,y
5323.0,1.0,3.0,1.0,310.0,468.0,n
5388.0,5.0,3.0,2.0,335.0,335.0,y
5388.0,5.0,3.0,2.0,335.0,335.0,n
5597.0,5.0,3.0,2.0,370.0,312.0,y
5597.0,5.0,3.0,2.0,365.0,312.0,n
5774.0,14.0,1.0,2.0,385.0,385.0,y
5774.0,14.0,1.0,2.0,412.0,385.0,n
5826.0,14.0,1.0,2.0,576.0,567.0,y
5826.0,14.0,1.0,2.0,600.0,567.0,n
5849.0,14.0,1.0,2.0,335.0,335.0,y
5849.0,14.0,1.0,2.0,156.25,335.0,n
5864.0,11.0,1.0,1.0,365.0,420.0,y
5864.0,11.0,1.0,1.0,405.0,420.0,n
5879.0,11.0,1.0,1.0,1150.0,671.0,y
5879.0,11.0,1.0,1.0,840.0,671.0,n
5891.0,9.0,3.0,1.0,475.0,450.0,y
5891.0,9.0,3.0,1.0,385.0,450.0,n
6001.0,10.0,2.0,1.0,335.0,405.0,y
6001.0,10.0,2.0,1.0,335.0,405.0,n
6158.0,13.0,2.0,2.0,506.0,400.0,y
6158.0,13.0,2.0,2.0,451.00961538461536,400.0,n
6164.0,13.0,2.0,2.0,600.0,312.0,y
6164.0,13.0,2.0,2.0,600.0,312.0,n
6186.0,10.0,2.0,1.0,700.0,600.0,y
6186.0,10.0,2.0,1.0,675.0,600.0,n
6240.0,13.0,2.0,2.0,406.0,300.0,y
6240.0,13.0,2.0,2.0,350.0,300.0,n
6331.0,12.0,3.0,2.0,375.0,400.0,y
6331.0,12.0,3.0,2.0,335.0,400.0,n
6473.0,10.0,2.0,1.0,523.0,355.0,y
6473.0,10.0,2.0,1.0,576.9230769230769,355.0,n
6501.0,10.0,2.0,1.0,465.0,355.0,y
6501.0,10.0,2.0,1.0,466.875,355.0,n
6565.0,12.0,3.0,2.0,461.0,406.0,y
6565.0,12.0,3.0,2.0,432.6923076923077,406.0,n
6695.0,12.0,3.0,2.0,445.0,430.0,y
6695.0,12.0,3.0,2.0,335.0,430.0,n
6751.0,10.0,2.0,1.0,504.0,337.0,y
6751.0,10.0,2.0,1.0,335.0,337.0,n
6830.0,12.0,3.0,2.0,465.0,300.0,y
6830.0,12.0,3.0,2.0,335.0,300.0,n
6912.0,10.0,2.0,1.0,174.0,479.0,y
6912.0,10.0,2.0,1.0,625.0,479.0,n
6996.0,10.0,2.0,1.0,335.0,600.0,y
6996.0,10.0,2.0,1.0,335.0,600.0,n
7194.0,13.0,2.0,2.0,320.0,273.0,y
7194.0,13.0,2.0,2.0,580.0,273.0,n
7598.0,13.0,2.0,2.0,500.0,201.0,y
7598.0,13.0,2.0,2.0,325.0,201.0,n
7648.0,13.0,2.0,2.0,402.0,435.0,y
